ROUTE,flights_count,avg_arrival_delay,median_arrival_delay,cancel_rate,diverted_rate,avg_distance,cluster
AUS-JFK,26,-6.5,-10.5,0.0,0.0,2445.454793376741,0
AUS-LAS,28,-3.5357142857142856,-11.5,0.0,0.0,1751.1617084653415,0
AUS-LAX,49,-0.6595744680851063,-8.0,0.04081632653061224,0.0,1994.3565507223086,0
AUS-LGB,5,-0.4,-6.0,0.0,0.0,1969.3068103710036,0
AUS-MCO,20,13.6,-1.0,0.0,0.0,1596.343666509811,0
AUS-MDW,17,11.529411764705882,0.0,0.0,0.0,1565.1573067188388,0
AUS-MSY,7,7.857142857142857,-5.0,0.0,0.0,713.290744505427,0
AUS-OAK,9,-6.0,-13.0,0.0,0.0,2405.3020034383144,0
AUS-ORD,50,-1.14,-6.5,0.0,0.0,1574.6654505104605,0
AUS-PHX,30,-1.1333333333333333,-7.5,0.0,0.0,1400.5459045855764,0
AUS-SAN,7,-6.142857142857143,-11.0,0.0,0.0,1870.0214607795515,0
AUS-SEA,8,-8.285714285714286,-6.0,0.125,0.0,2847.3905467693276,0
AUS-SFO,36,1.5555555555555556,-6.0,0.0,0.0,2416.001540465319,0
AUS-SJC,15,-2.3333333333333335,-6.0,0.0,0.0,2371.3958617770923,0
AUS-SLC,7,-5.571428571428571,-8.0,0.0,0.0,1746.588114697339,0
AVL-ATL,36,0.29411764705882354,-5.0,0.05555555555555555,0.0,263.96976193505265,0
AVL-ORD,6,17.166666666666668,3.0,0.0,0.0,863.2285482851559,0
AVP-DTW,8,7.125,-4.0,0.0,0.0,639.4685254768907,0
AVP-ORD,6,-0.8,-5.0,0.16666666666666666,0.0,1013.5260415414759,0
AZO-DTW,9,-11.88888888888889,-17.0,0.0,0.0,181.43267910429182,0
AZO-ORD,17,-7.294117647058823,-9.0,0.0,0.0,196.11857643642267,0
BDL-ATL,36,-9.371428571428572,-13.0,0.0,0.027777777777777776,1381.9440149711472,0
BDL-BWI,38,10.789473684210526,-9.0,0.0,0.0,455.708775779187,0
BDL-CLT,20,1.8,-7.0,0.0,0.0,1035.6915456371664,0
BDL-DCA,6,-14.333333333333334,-17.5,0.0,0.0,503.64892908799544,0
BDL-DEN,9,-16.0,-17.0,0.0,0.0,2682.5028810435874,0
BDL-DFW,8,60.875,5.5,0.0,0.0,2363.168000176707,0
BDL-DTW,22,-1.8636363636363635,-8.5,0.0,0.0,880.2450704269901,0
BDL-EWR,13,-5.153846153846154,-10.0,0.0,0.0,185.99793522931193,0
BDL-FLL,17,6.411764705882353,-14.0,0.0,0.0,1891.8895557923902,0
BDL-IAD,8,1.8333333333333333,-7.0,0.25,0.0,523.2847271218562,0
BDL-LAS,7,-7.666666666666667,-13.0,0.14285714285714285,0.0,3688.3193520476925,0
BDL-MCO,31,-4.321428571428571,-10.5,0.06451612903225806,0.03225806451612903,1692.5530101001573,0
BDL-MDW,14,-0.7857142857142857,-3.5,0.0,0.0,1246.4223778057342,0
BDL-MIA,7,-5.285714285714286,-1.0,0.0,0.0,1925.7591870229674,0
BDL-MSP,13,26.307692307692307,-9.0,0.0,0.0,1685.8278589473591,0
BDL-ORD,27,2.36,-3.0,0.07407407407407407,0.0,1256.9433327796232,0
BDL-PBI,6,2.1666666666666665,1.0,0.0,0.0,1826.0103318098954,0
BDL-RSW,9,-19.444444444444443,-19.0,0.0,0.0,1902.1850077761164,0
BDL-SJU,15,14.466666666666667,3.0,0.0,0.0,2688.5659328201477,0
BDL-TPA,21,-1.0476190476190477,-2.0,0.0,0.0,1790.5380918940434,0
BET-ANC,11,-7.181818181818182,-7.0,0.0,0.0,639.4571497486662,0
BFL-DEN,12,11.166666666666666,-3.5,0.0,0.0,1357.1371838069065,0
BFL-IAH,6,-4.0,-6.0,0.0,0.0,2294.092800750568,0
BFL-PHX,18,-2.0,-8.5,0.0,0.0,683.411109466653,0
BFL-SFO,13,1.2307692307692308,-10.0,0.0,0.0,383.29836856508075,0
BGR-DTW,5,-2.4,-1.0,0.0,0.0,1204.2508456154317,0
BHM-ATL,52,-2.4705882352941178,-11.0,0.019230769230769232,0.0,215.6462060351932,0
BHM-BWI,9,27.88888888888889,10.0,0.0,0.0,1096.549852118412,0
BHM-DAL,15,-3.6666666666666665,-5.0,0.0,0.0,942.5119437521545,0
BHM-DEN,5,19.2,8.0,0.0,0.0,1739.414539237905,0
BHM-DFW,6,-2.0,-10.5,0.0,0.0,958.9829656652759,0
BHM-DTW,5,5.4,1.0,0.0,0.0,1006.8397584704556,0
BHM-HOU,16,15.0625,-5.0,0.0,0.0,916.9200549163486,0
BHM-IAH,30,-2.3666666666666667,-7.0,0.0,0.0,903.7116083826411,0
BHM-LAS,6,-7.0,-8.0,0.0,0.0,2598.1643171409037,0
BHM-LGA,12,14.090909090909092,6.0,0.0,0.08333333333333333,1392.6298629349837,1
BHM-MCO,12,42.5,-7.5,0.0,0.0,770.7771102446019,0
BHM-MDW,10,-5.0,-9.5,0.0,0.0,918.5564895655959,0
BHM-MIA,11,-0.2727272727272727,-4.0,0.0,0.0,1065.353196410815,0
BHM-ORD,14,4.153846153846154,-3.0,0.07142857142857142,0.0,941.3136698154042,0
BHM-TPA,17,-4.882352941176471,-11.0,0.0,0.0,740.4804722484455,0
BIL-DEN,19,-3.526315789473684,-15.0,0.0,0.0,732.9164293690048,0
BIL-MSP,8,-10.125,-10.0,0.0,0.0,1200.338450415524,0
BIL-SLC,24,-4.217391304347826,-7.0,0.041666666666666664,0.0,623.3575741488568,0
BIS-DEN,13,-6.923076923076923,-9.0,0.0,0.0,831.5479665223528,0
BIS-MSP,27,8.11111111111111,-1.0,0.0,0.0,619.956009686342,0
BIS-ORD,6,14.0,-4.5,0.0,0.0,1149.5612410230403,0
BJI-MSP,6,-10.666666666666666,-10.5,0.0,0.0,320.7755528510332,0
BLI-SEA,7,-0.14285714285714285,-3.0,0.0,0.0,150.37746134008742,0
BMI-ATL,18,10.352941176470589,2.0,0.05555555555555555,0.0,858.0126216907798,0
BMI-DFW,11,15.0,-5.0,0.0,0.0,1110.3345227536925,0
BMI-ORD,11,-9.6,-18.0,0.09090909090909091,0.0,187.17179731565523,0
BNA-ATL,52,-0.27450980392156865,-7.0,0.0,0.019230769230769232,344.15672844702124,0
BNA-AUS,11,23.90909090909091,2.0,0.0,0.0,1215.9726725828475,0
BNA-BOS,7,4.333333333333333,1.5,0.14285714285714285,0.0,1514.2979487880534,0
BNA-BWI,34,14.333333333333334,-4.0,0.029411764705882353,0.0,943.6528266887243,0
BNA-CHS,6,-6.833333333333333,-7.5,0.0,0.0,705.8184935875883,0
BNA-CLE,12,-3.5,-7.5,0.0,0.0,721.3818874213861,0
BNA-CLT,28,1.5925925925925926,-2.0,0.03571428571428571,0.0,527.7856289878663,0
BNA-CMH,10,22.8,7.5,0.0,0.0,543.383839077647,0
BNA-DAL,16,2.25,-11.5,0.0,0.0,1000.4842512897292,0
BNA-DCA,16,-1.7857142857142858,-6.5,0.125,0.0,902.4805979275008,0
BNA-DEN,29,-6.931034482758621,-6.0,0.0,0.0,1627.0235395605037,0
BNA-DFW,44,-2.9767441860465116,-3.0,0.022727272727272728,0.0,1014.1185883732608,0
BNA-DTW,41,6.463414634146342,-6.0,0.0,0.0,735.0801467533863,0
BNA-EWR,32,9.233333333333333,-3.0,0.0625,0.0,1201.011952707256,0
BNA-FLL,12,4.583333333333333,-0.5,0.0,0.0,1277.944368068923,0
BNA-HOU,28,-5.607142857142857,-7.0,0.0,0.0,1078.0126586914912,0
BNA-IAH,26,5.230769230769231,-5.5,0.0,0.0,1056.7010781315184,0
BNA-JAX,16,9.0,0.5,0.0,0.0,778.8350002537464,0
BNA-JFK,9,53.888888888888886,16.0,0.0,0.0,1229.7564334038436,0
BNA-LAS,8,-12.25,-14.0,0.0,0.0,2548.888892358121,0
BNA-LAX,34,-5.117647058823529,-11.0,0.0,0.0,2886.3266623773666,0
BNA-LGA,34,43.12903225806452,3.0,0.08823529411764706,0.0,1227.6762995230367,0
BNA-MCI,29,3.4482758620689653,-4.0,0.0,0.0,789.6244850518931,0
